Iteration,MeanFit,BestFit
0,inf,273842.02
1,inf,264947.68000000005
2,270983.32638000004,254073.54
3,258888.00154000003,230760.10999999996
4,246063.60004000005,219477.11
5,232480.58042999997,219166.41000000006
6,220086.49664,201523.12
7,208646.81318000008,196434.25000000003
8,198227.52857000005,180631.05000000002
9,188442.52367000002,168849.19
